DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
1313127-DCA,Business,12/31/2011,Inactive,04/02/2009,Tobacco Retail Dealer,STK CONVENIENCE INC.,WOODHAVEN,NY,11421,Queens
1096898-DCA,Business,07/31/2021,Active,06/02/2003,Secondhand Dealer - General,"COLUMBIA BROTHERS, INC",MIDDLE VILLAGE,NY,11379,Queens
1308623-DCA,Business,12/31/2011,Inactive,02/03/2009,Laundry,RV BUBBLE ZONE CORP.,NEW YORK,NY,10032,Manhattan
1064056-DCA,Business,12/31/2017,Inactive,10/13/2000,Laundry Jobber,DAVID CELLULAR LLC,FLUSHING,NY,11367,Queens
1450685-DCA,Business,06/30/2013,Inactive,11/23/2012,Home Improvement Contractor,USA TEAM BUILDERS CORP.,BROOKLYN,NY,11213,Brooklyn
1314612-DCA,Business,03/31/2014,Inactive,04/16/2009,Stoop Line Stand,"BAEZ, JONATHAN",BROOKLYN,NY,11232,Brooklyn
1224795-DCA,Business,12/31/2011,Inactive,04/25/2006,Laundry,"JANE LAUNDROMAT, CORP.",BROOKLYN,NY,11203,Brooklyn
0976260-DCA,Business,12/31/2017,Inactive,12/10/1997,Laundry,"CHEN, RICHARD I",WOODSIDE,NY,11377,Queens
1464472-DCA,Business,12/31/2020,Active,05/14/2013,Tobacco Retail Dealer,MAMAS DELI INC.,MIDDLE VLG,NY,11379,Queens
2093667-DCA,Business,02/28/2021,Active,01/16/2020,Home Improvement Contractor,UP HOUSE DESIGN INC,BROOKLYN,NY,11235,Brooklyn
2009159-DCA,Business,12/31/2020,Active,06/04/2014,Electronics Store,"JP CARD, INC.",WHITESTONE,NY,11357,Queens
1472544-DCA,Business,02/28/2015,Inactive,08/29/2013,Home Improvement Contractor,NESCO CONSTRUCTION INC.,ELMONT,NY,11003,Outside NYC
2054725-DCA,Business,03/15/2018,Inactive,06/20/2017,Amusement Device Portable,BLUE BALLOON INC,ASTORIA,NY,11105,Queens
1239338-DCA,Business,12/31/2013,Inactive,08/31/2010,Tobacco Retail Dealer,MUN'S GOURMET INC.,BROOKLYN,NY,11201,Brooklyn
1470931-DCA,Business,02/28/2015,Inactive,08/08/2013,Home Improvement Contractor,"LEVEL ONE BUILDERS, INC.",FLUSHING,NY,11354,Queens
2047609-1-DCA,Business,12/31/2019,Inactive,01/24/2017,Tobacco Retail Dealer,"LALU GROCERY 594, INC.",NEW YORK,NY,10024,Manhattan
2088312-DCA,Business,02/28/2021,Active,07/16/2019,Home Improvement Contractor,3A CONTRACTING CORP,WOODSIDE,NY,11377,Queens
1101264-DCA,Business,12/31/2014,Inactive,04/29/2003,Tobacco Retail Dealer,UTOPIA MARKET CORPORATION,JACKSON HTS,NY,11372,Queens
1450972-DCA,Business,07/31/2013,Inactive,11/27/2012,Secondhand Dealer - General,UTICA PAWN CORP.,BROOKLYN,NY,11213,Brooklyn
2013190-1-DCA,Business,12/31/2015,Inactive,09/10/2014,Tobacco Retail Dealer,PARKSIDE I DELI & GROCERY CORP,NEW YORK,NY,10040,Manhattan
1434835-DCA,Business,12/31/2018,Inactive,09/14/2012,Tobacco Retail Dealer,"Hudson Keelee JFK 7, JV",JAMAICA,NY,11430,Queens
2070756-DCA,Business,02/28/2021,Active,05/08/2018,Home Improvement Contractor,"LOYAL CONSTRUCTION, INC.",BRONX,NY,10469,Bronx
1401732-DCA,Business,04/30/2016,Inactive,06/25/2013,Tow Truck Company,ABI'S AUTO & TOWING INC,HOLLIS,NY,11423,Queens
2027892-DCA,Business,02/28/2017,Inactive,09/02/2015,Home Improvement Contractor,MARSTEL CONSTRUCTION LLC,DIX HILLS,NY,11746,Outside NYC
1399621-DCA,Business,07/31/2013,Inactive,07/12/2011,Secondhand Dealer - General,N O BUYERS CORPORATION,BROOKLYN,NY,11206,Brooklyn
1352523-DCA,Business,07/31/2015,Inactive,04/30/2010,Secondhand Dealer - General,"EASY 1 CELL & PAWN, CORP.",NEW YORK,NY,10033,Manhattan
1454315-DCA,Business,12/31/2015,Inactive,01/18/2013,Laundry,80TH AVE LAUNDRY INC,JAMAICA,NY,11432,Queens
1071642-DCA,Business,12/31/2018,Inactive,06/16/2009,Tobacco Retail Dealer,"RITE AID OF NEW YORK, INC.",BAYSIDE,NY,11361,Queens
1187052-DCA,Business,03/31/2020,Active,09/20/2011,Stoop Line Stand,"ALVARADO, CELINA",BROOKLYN,NY,11208,Brooklyn
2089597-DCA,Business,03/15/2021,Active,08/15/2019,Dealer In Products,HERITAGE MEDICAL SUPPLY INC,MOUNT VERNON,NY,10550,Outside NYC
2065535-DCA,Business,07/31/2021,Active,01/31/2018,Secondhand Dealer - General,"BEACON'S CLOSET III, INC.",NEW YORK,NY,10011,Manhattan
1179453-DCA,Business,12/31/2011,Inactive,09/09/2004,Tobacco Retail Dealer,K&G FOOD MARKET CORP,NEW YORK,NY,10026,Manhattan
1159248-DCA,Business,12/15/2020,Active,02/24/2006,Sidewalk Cafe,"675 HUDSON VAULT, LLC",NEW YORK,NY,10014,Manhattan
1041316-DCA,Business,12/31/2020,Active,11/28/2000,Tobacco Retail Dealer,"Z & S DELI, INC.",NEW YORK,NY,10075,Manhattan
1375075-DCA,Business,06/30/2016,Inactive,10/21/2010,Newsstand,"NIVAR, AUGUSTO",NEW YORK,NY,10033,Manhattan
2092673-DCA,Business,03/31/2022,Active,12/03/2019,Stoop Line Stand,FLOWERS BY MARIO CORP,RIDGEWOOD,NY,11385,Queens
2007813-1681-DCA,Business,12/31/2019,Inactive,05/09/2014,Tobacco Retail Dealer,SABER & JAMAL MARKET 2 CORP,BRONX,NY,10457,Bronx
1402416-DCA,Business,12/31/2018,Inactive,08/01/2011,Tobacco Retail Dealer,"MUNG, CHIN MEI",NEW YORK,NY,10014,Manhattan
1435503-DCA,Business,07/31/2017,Inactive,06/27/2012,Secondhand Dealer - General,L & R TRANSMISSION CORP.,BRONX,NY,10457,Bronx
1289672-DCA,Business,02/28/2015,Inactive,06/18/2008,Home Improvement Contractor,LAKHBIR SINGH,BROOKLYN,NY,11234,Brooklyn
1385013-DCA,Business,02/28/2021,Active,03/16/2011,Home Improvement Contractor,GAGAN G.C. INC.,SOUTH RICHMOND HILL,NY,11419,Queens
1141332-DCA,Business,12/31/2011,Inactive,06/02/2003,Laundry Jobber,"NEW YORK FRENCH CLEANERS, INC.",BROOKLYN,NY,11216,Brooklyn
1386660-DCA,Business,03/31/2020,Active,04/01/2011,Stoop Line Stand,"AVENUE S MINI MARKET, INC.",BROOKLYN,NY,11223,Brooklyn
2010478-DCA,Business,12/31/2018,Inactive,07/09/2014,Electronics Store,"ARJAY TELECOMMUNICATIONS, INC.",STATEN ISLAND,NY,10302,Staten Island
2044927-1-DCA,Business,12/31/2021,Active,10/21/2016,Tobacco Retail Dealer,DANISH GOURMET INC,NEW YORK,NY,10016,Manhattan
1346195-DCA,Business,06/30/2011,Inactive,03/03/2010,Home Improvement Contractor,"THOMPSON, CLAUDE",BRONX,NY,10466,Bronx
1295736-DCA,Business,12/31/2017,Inactive,08/14/2008,Laundry,SLOPE LAUNDROMAT INC.,BROOKLYN,NY,11217,Brooklyn
2029082-DCA,Business,12/31/2016,Inactive,10/02/2015,Electronics Store,T-MOBILE NORTHEAST LLC,NEW YORK,NY,10002,Manhattan
2080475-DCA,Business,02/28/2021,Active,12/05/2018,Home Improvement Contractor,Fred's Painting & Carpentry Inc,HUNTINGTON STATION,NY,11746,Outside NYC
1213129-DCA,Business,12/31/2013,Inactive,10/24/2005,Laundry,MS. BUBBLE LAUNDRY INC.,NEW YORK,NY,10027,Manhattan
2047294-2-DCA,Business,12/31/2020,Active,01/11/2017,Tobacco Retail Dealer,Y.H. NEW DORP INC.,STATEN ISLAND,NY,10306,Staten Island
1353380-DCA,Business,06/30/2013,Inactive,05/07/2010,Home Improvement Contractor,US WOODS FLOOR CORP,STATEN ISLAND,NY,10314,Staten Island
2020938-DCA,Business,02/28/2019,Inactive,04/13/2015,Home Improvement Contractor,EKSO CONSTRUCTION CORP,NEW YORK,NY,10002,Manhattan
1467934-DCA,Business,12/31/2020,Active,06/21/2013,Tobacco Retail Dealer,NICKELBY MINI MARKET CORP.,JAMAICA,NY,11434,Queens
2092186-DCA,Business,07/31/2021,Active,11/13/2019,Secondhand Dealer - General,"BAUTISTA, JORGE",MASPETH,NY,11378,Queens
2025984-DCA,Business,02/28/2019,Inactive,07/22/2015,Home Improvement Contractor,KC & PH CONSTRUCTION INC.,BROOKLYN,NY,11204,Brooklyn
1189664-DCA,Business,12/31/2010,Inactive,02/23/2005,Tobacco Retail Dealer,RAFAEL DELI GROCERY INC.,BRONX,NY,10457,Bronx
1028741-DCA,Business,04/30/2020,Active,03/31/2010,Tow Truck Company,STEVEN & FRANCINE'S COMPLETE AUTOMOTIVE REPAIR INC,NEW YORK,NY,10018,Manhattan
1411077-DCA,Business,03/31/2017,Inactive,10/18/2011,Garage,SP PLUS CORPORATION,LONG IS CITY,NY,11101,Queens
2054287-DCA,Business,02/28/2021,Active,06/12/2017,Home Improvement Contractor,PICO RENOVATIONS INC.,STATEN ISLAND,NY,10301,Staten Island
1190736-DCA,Business,12/31/2010,Inactive,05/01/2007,Electronics Store,JUSTIN'S DISCOUNT CORP.,BROOKLYN,NY,11237,Brooklyn
1244767-DCA,Business,12/31/2011,Inactive,07/11/2008,Tobacco Retail Dealer,KING RALPH DELI CORP.,BROOKLYN,NY,11221,Brooklyn
2082300-DCA,Business,11/01/2019,Inactive,02/15/2019,Pedicab Business,"BRAHIM, HALIM",SUNNYSIDE,NY,11104,Queens
1299309-DCA,Business,02/28/2012,Inactive,09/15/2008,Process Serving Agency,BRASS PRIVATE INVESTIGATIONS LLC,WEST BABYLON,NY,11704,Outside NYC
1050929-DCA,Business,12/31/2015,Inactive,11/03/2000,Tobacco Retail Dealer,"CHAE, KYU SUN",STATEN ISLAND,NY,10301,Staten Island
2002590-DCA,Business,12/31/2020,Active,01/14/2014,Electronics Store,AYESHA TRADING INC.,NEW YORK,NY,10001,Manhattan
