DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
0966973-DCA,Business,03/31/2013,Inactive,07/25/1997,Garage,THE NEW YORK AND PRESBYTERIAN HOSPITAL,NEW YORK,NY,10065,Manhattan
0926074-DCA,Business,07/31/2015,Inactive,06/17/2003,Secondhand Dealer - General,"JOHN G. BARES, INC.",NEW YORK,NY,10017,Manhattan
1050682-DCA,Business,12/31/2012,Inactive,11/21/2000,Tobacco Retail Dealer,MINI MARKET DELI GROCERY INC,KEW GARDENS,NY,11415,Queens
1465086-DCA,Business,06/30/2014,Inactive,05/17/2013,Electronic & Appliance Service,"CASTILLO, BETHZAIDA B.",NEW YORK,NY,10032,Manhattan
1344078-DCA,Business,06/30/2011,Inactive,02/01/2010,Home Improvement Contractor,HEWLETT CONSTRUCTION CORP.,MERRICK,NY,11566,Outside NYC
1375738-DCA,Business,07/31/2021,Active,10/29/2010,Secondhand Dealer - Auto,HIGH SPEED MOTORS INC.,BELLEROSE,NY,11426,Queens
2072637-DCA,Business,04/30/2020,Active,06/05/2018,Tow Truck Company,TOWING AND GOING INC.,APALACHIN,NY,13732,Outside NYC
1041284-DCA,Business,12/31/2020,Active,05/04/2007,Tobacco Retail Dealer,"DOMINGUEZ, DOMINGO A",BROOKLYN,NY,11237,Brooklyn
2066425-1-DCA,Business,12/31/2021,Active,02/21/2018,Tobacco Retail Dealer,SAS DELI AND GROCERY INC,BROOKLYN,NY,11203,Brooklyn
1406321-DCA,Business,07/31/2015,Inactive,08/31/2011,Secondhand Dealer - General,SIX STAR JEWELRY LLC,NEW YORK,NY,10036,Manhattan
2069067-DCA,Business,03/31/2020,Active,04/06/2018,Stoop Line Stand,4118 MEAT & PRODUCE CORP.,BROOKLYN,NY,11232,Brooklyn
2059358-2-DCA,Business,12/31/2018,Inactive,10/13/2017,Tobacco Retail Dealer,19 AVENUE D CORP,NEW YORK,NY,10009,Manhattan
1458998-DCA,Business,12/31/2018,Inactive,03/05/2013,Tobacco Retail Dealer,J & F DELI GROCERY INC.,JAMAICA,NY,11434,Queens
2018512-DCA,Business,02/28/2021,Active,02/20/2015,Home Improvement Contractor,"YEN, CHINMIN",BROOKLYN,NY,11215,Brooklyn
1472194-DCA,Business,12/31/2017,Inactive,08/27/2013,Laundry Jobber,RANJHA MOTT CLEANERS INC,NEW YORK,NY,10012,Manhattan
1393965-DCA,Business,12/31/2017,Inactive,05/26/2011,Laundry,FIFTH AVENUE LAUNDROMAT & DRY CLEANING INC.,NEW YORK,NY,10035,Manhattan
1011540-DCA,Business,02/28/2015,Inactive,06/10/1999,Home Improvement Contractor,"BROWN, SHUROD",BROOKLYN,NY,11233,Brooklyn
2062758-DCA,Business,12/31/2019,Inactive,12/07/2017,Laundries,FRIENDLY LAUNDROMAT IN ELMHURST INC,ELMHURST,NY,11373,Queens
